Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity Ratio
0,0.20017386775818788,1537.112798505534,27.375933399634658,0.9422955514325368,1586.2662245859062,27.08478699786786,0.0749259295174926,1301.5833670332136,52.05181965533572,0.16114890348212302,2587.5434260953166,83.93728389559335,0.07951425580178693
1,0.1997039041480019,1528.2789683069789,29.759632737046726,0.9507973753638138,1577.7028650018956,33.30946941776541,0.05339479428837249,1301.710047083432,61.65760781642465,0.1927074183647844,2575.918249586672,104.55901500665477,0.056157910898672246
2,0.17994109329265462,1533.7748084997681,26.87246322020451,0.9586441910659167,1582.3068262501183,26.391413020233976,0.06665612344104563,1299.5531145718228,55.74101023564912,0.16223702195443654,2583.8553341712113,86.80039574847831,0.06953166155101892
3,0.20210316513621993,1536.2246659121295,26.55473705088503,0.9385467952269239,1585.3983183946916,26.828210453709193,0.07609720017889887,1300.0611207921208,54.13328653772594,0.15697417340783112,2585.536285422097,88.48637942257558,0.08107981463034022
4,0.20298988001301294,1533.951804375231,29.08629550028375,0.944501820784977,1583.198338310923,28.969921370739492,0.07975663329853891,1300.165213840908,55.18290745668946,0.1644789592541453,2583.4576397011806,93.06900434452284,0.08444306992680337
5,0.1668438880268519,1532.631556646164,27.551685512505696,0.9663168804800942,1580.970733763575,26.71911799003558,0.05980629461754741,1298.8822231153995,52.312696885619545,0.1609050750269597,2583.4989482487326,84.34646951569448,0.06189097575097095
6,0.1929466220772461,1534.7620593476547,27.90620743578254,0.9565692289424619,1583.5623783478645,26.86129184851046,0.071224556409236,1299.4090171566527,53.46029408991706,0.14863206768864495,2584.526779740863,86.18701316324972,0.07445833950562944
7,0.19653691617117097,1534.7627568368764,26.672977245620114,0.9571928157794267,1583.6996551362083,26.80574280370271,0.06982377712521928,1299.9023796122704,57.4057999320273,0.14852570243091506,2585.03623606488,86.43369368563859,0.072946407426139
8,0.2050319947775527,1534.7060812453733,27.60335278413177,0.9527801598924821,1583.9230665690309,27.946274986232524,0.08141415510462788,1299.9308952956608,55.060162977433066,0.1471500437420937,2584.788904195537,89.78442514309525,0.08544904536405877
9,0.1724209554932633,1532.0327035538437,27.657079814563446,0.9658642572597474,1580.5543826271823,26.760072551647074,0.05801943649417715,1298.173224949851,51.48986052392846,0.14853102633550797,2582.4109423219375,86.27360643095729,0.06006996952013116
10,0.18002558287136705,1534.022660530133,27.145874422999373,0.963665610933308,1582.5077202336267,26.181496314181942,0.06390498550601746,1299.08872926363,52.28015932713212,0.14431536792606786,2584.4973319582573,83.8038800434049,0.0663144816842905
11,0.204806709801151,1533.5865918705974,29.1750679297758,0.9431784834541785,1583.154376121458,28.7217869774391,0.07450426071567032,1299.1706739913218,58.3029915483489,0.1459918643748364,2583.098508738691,91.59519909895236,0.07899274848045225
12,0.20005957165636856,1535.781222068774,25.997477705090784,0.9552204988654414,1584.7309364657526,26.277901168879797,0.06843384053320575,1299.956970785885,52.68468457144779,0.15626310475533553,2585.6054379282946,86.93606552992031,0.07164193043856128
13,0.21400756839301033,1531.2050587440897,31.638587493841968,0.9339570512471653,1580.9278778762814,29.79859770760299,0.06943631676733635,1298.8043905470902,55.53606560355858,0.16160881336713076,2579.6735824766447,99.26571449795492,0.0743463702903834
14,0.19605563141101778,1532.8571710282822,29.378107600882032,0.9555365372248047,1581.4902681849394,29.56288157742513,0.05477880189470931,1299.9671897436394,54.32947887438404,0.17334640061557313,2581.457761514925,95.9809896158502,0.057327794135224944
15,0.1883977925519338,1526.051488725133,30.90578264083214,0.9697863681779477,1575.3554170338632,34.16377180135801,0.0631688815847477,1305.6358356308501,85.81215076859002,0.19037977100869946,2576.08931940933,104.47395918949132,0.0651369040208624
16,0.23228883950647236,1539.7370183760097,25.250512124303366,0.9308555849458396,1589.4658362806333,27.810315290195778,0.09062683790592807,1304.952824177147,66.51841015192225,0.1478277831353005,2590.2239075845737,87.72422918698746,0.09735864442517263
17,0.22594008260735265,1533.1181780369393,34.845364509540666,0.9171432223749924,1584.1764087878787,32.51482466015063,0.10179730480666081,1301.6092209323733,64.6761745047374,0.16842940483200886,2580.0947484587473,108.20355020511963,0.11099390184997622
18,0.18167503452210335,1536.1813712460694,27.95318625184927,0.9474680117112902,1584.6710828689877,26.863055729036045,0.08775934647179862,1303.0792238923054,63.71055456348187,0.15163576188180902,2586.5627223924557,89.7043758307178,0.09262512864501898
19,0.17981620125787057,1538.2729744881624,23.11122815311613,0.968216262032128,1586.1588412928677,23.538634813989262,0.06307547317791441,1301.1150669278982,47.69330442582148,0.15168442471268007,2589.580126299824,77.04953016153733,0.06514605842865032
