74.00000	135.79984	206.66718	211.80763	188.95009	129.78050	118.07304	139.99489	129.28075	221.53693	25.10537	250.09918	296.57431	117.66039	109.53390	283.79639	253.28621	199.46205	214.17636	257.21777
75.00000	141.66800	216.40314	222.96718	199.35416	136.33441	124.99618	147.21671	136.89243	230.77713	26.51975	262.29791	310.10995	124.05566	116.35630	298.56937	268.11667	209.94325	223.65424	270.07327
76.00000	147.21935	225.46483	233.60735	208.98062	143.16058	131.72975	154.36055	143.96970	238.57526	27.87996	274.13611	322.88971	130.03856	122.66927	312.64761	282.12274	219.71800	232.40536	281.98813
77.00000	152.42961	233.57191	243.50381	217.55965	150.18259	138.01866	161.38570	150.35551	245.02242	29.11073	285.19589	334.78833	135.36496	128.10246	325.59363	294.57318	228.44128	240.46384	292.82211
78.00000	157.35069	240.64636	252.48447	225.01723	157.13496	143.61807	168.19820	156.09134	250.65950	30.15192	295.15854	345.80688	139.97165	132.53940	337.13602	305.02145	235.98978	247.98402	302.70425
79.00000	162.04208	246.85666	260.55652	231.52020	163.78722	148.49001	174.71609	161.33653	255.99414	31.00586	304.03207	356.04904	143.99638	136.17824	347.35428	313.62500	242.54199	255.10118	311.86990
80.00000	166.44560	252.18816	267.48996	237.01457	169.82561	152.46417	180.73920	166.10291	261.31775	31.64723	311.61017	365.35632	147.46376	139.10277	356.03119	320.23004	248.08040	261.74088	320.28357
81.00000	170.41577	256.72052	273.12363	241.53546	174.95149	155.50040	186.02509	170.37892	266.71667	32.09230	317.81924	373.53479	150.45389	141.53339	363.07510	325.00479	252.70992	267.69272	327.79492
82.00000	173.73015	260.54141	277.41370	245.14368	178.98952	157.70384	190.35623	174.07378	271.92294	32.39492	322.68268	380.38687	153.01591	143.67374	368.48819	328.31946	256.54254	272.61542	334.08557
83.00000	176.31360	263.77051	280.57166	247.98808	182.04126	159.31152	193.74493	177.15909	276.61475	32.62277	326.41013	385.97672	155.20053	145.63319	372.51105	330.64395	259.71146	276.37863	339.03427
84.00000	177.90794	266.28729	282.54495	249.97083	183.99603	160.42610	195.97520	179.39250	280.18954	32.83001	328.87030	390.05557	156.90604	147.36308	374.99432	332.13989	262.06900	278.52145	342.10098
85.00000	178.51703	268.01239	283.51392	251.12424	184.97675	161.22153	197.08464	180.68640	282.25467	33.06771	330.12094	392.71356	158.10034	148.75665	376.06277	333.03253	263.52582	278.96271	343.15253
86.00000	178.25252	268.78787	283.59140	251.46625	185.08060	161.77751	197.13463	181.00452	282.60709	33.35833	330.16052	394.07370	158.77391	149.66301	375.80975	333.40372	263.95917	277.78381	342.22470
87.00000	177.36984	268.59564	282.92133	251.12810	184.47478	162.11829	196.32300	180.49951	281.47974	33.68919	329.12997	394.40274	159.01723	150.04214	374.47137	333.31262	263.44098	275.37753	339.73865
88.00000	176.04866	267.22656	281.43030	250.14346	183.17877	162.14813	194.70178	179.24271	279.02829	34.02341	326.97031	393.75287	158.87404	149.78827	372.08151	332.66473	261.95224	272.05688	335.99911
89.00000	174.51585	264.78787	279.17743	248.70546	181.36423	161.80035	192.50266	177.51448	275.81610	34.30045	323.89655	392.33102	158.46994	148.98996	368.89389	331.44797	259.80167	268.38116	331.65741
90.00000	172.86145	261.41272	276.18436	246.95074	179.18138	161.00641	189.90022	175.54086	272.31235	34.45353	320.08649	390.21884	157.85396	147.73239	365.07138	329.58856	257.31497	264.78348	327.23303
91.00000	171.10080	257.42593	272.62131	245.00919	176.83565	159.80746	187.09839	173.51976	268.90067	34.44606	315.81635	387.55493	157.04051	146.15779	360.82230	327.08786	254.83499	261.54108	323.10422
92.00000	169.17033	253.20056	268.70706	242.93286	174.55127	158.26994	184.28665	171.58478	265.87375	34.23642	311.33975	384.41980	155.94344	144.36609	356.29330	323.83902	252.67758	258.85321	319.56546
93.00000	167.05560	249.17877	264.81589	240.73676	172.50806	156.58572	181.62689	169.75563	263.28229	33.85478	306.92145	381.01401	154.50696	142.47708	351.66360	319.90280	250.94554	256.65894	316.61490
94.00000	164.79875	245.72716	261.30829	238.37917	170.82777	154.91267	179.24454	167.98763	261.11105	33.32976	302.75015	377.49008	152.66164	140.56801	347.06134	315.28491	249.63098	254.89005	314.21088
95.00000	162.55768	243.04828	258.46838	235.83856	169.50749	153.37866	177.19443	166.19202	259.22461	32.72618	298.93710	374.00922	150.45535	138.72163	342.60873	310.16089	248.55980	253.39981	312.18042
96.00000	160.61647	241.24780	256.53986	233.12013	168.47296	152.04802	175.51753	164.28172	257.46750	32.11926	295.58145	370.69989	148.02670	137.04591	338.44937	304.82251	247.48961	252.08160	310.35202
97.00000	159.20453	240.07715	255.40842	230.33177	167.54570	150.85239	174.14359	162.26669	255.68011	31.58052	292.66208	367.58643	145.64348	135.61295	334.65125	299.71143	246.21866	250.84996	308.55304
98.00000	158.56914	239.35220	255.01692	227.60707	166.60725	149.70947	173.06433	160.22630	253.75381	31.18006	290.26529	364.69406	143.58017	134.52463	331.33658	295.31528	244.61752	249.68900	306.68756
99.00000	158.77100	238.75658	255.11400	225.12341	165.57623	148.50690	172.22870	158.34813	251.62108	30.97318	288.44601	362.02551	142.09375	133.82211	328.56158	292.09296	242.68097	248.58447	304.69455
100.00000	159.70883	238.02449	255.44133	223.05389	164.47134	147.17755	171.60283	156.90117	249.26367	31.00645	287.30481	359.65094	141.36322	133.50172	326.36661	290.40686	240.49689	247.51538	302.55527
101.00000	160.98338	237.06821	255.76921	221.39151	163.40144	145.76971	171.11378	156.00453	246.76480	31.24092	286.74945	357.63651	141.23639	133.41692	324.61404	289.99017	238.22925	246.43636	300.31821
