Raman Shift(cm-1),"x:25.7$\mu m$, y:19.6$\mu m$","x:20.3$\mu m$, y:31.9$\mu m$"
50.0,0.5553354648376184,0.6896906075394068
51.0,0.5544033081003186,0.6901034233651269
52.0,0.5708287679749363,0.7043225478130848
53.0,0.5993905977174449,0.7274813649971739
54.0,0.6336736274433745,0.7536343576990512
55.0,0.6620035803745737,0.771662810094896
56.0,0.6738779181540613,0.7725513170743848
57.0,0.6676215616341983,0.7556813425978384
58.0,0.6449646532329114,0.7232354464901485
59.0,0.6076383981091711,0.6773802077636621
60.0,0.5666924469931336,0.6289491109363119
61.0,0.5296468883473633,0.58536105174705
62.0,0.5005139017155829,0.5505906023652912
63.0,0.4827077419622238,0.52814686104749
64.0,0.476863596124396,0.5191294255880318
65.0,0.4781000953278715,0.5190214896082147
66.0,0.4797899200074817,0.5210707013415369
67.0,0.4785079886244199,0.5219651683781636
68.0,0.4692216909697831,0.5168017940426938
69.0,0.44795478143136336,0.5017940426936576
70.0,0.42165446462825845,0.4823830535272076
71.0,0.39349760564443026,0.4613319352305527
72.0,0.367021870147923,0.44169813162033
73.0,0.3490345794680556,0.4293625162182324
74.0,0.3414579664662691,0.42612902148305876
75.0,0.3424042045223882,0.43021617978676086
76.0,0.35014600733503864,0.4399709594578575
77.0,0.3619124768986665,0.4527597356878397
78.0,0.37241136208331255,0.4633451246405136
79.0,0.37715809495166125,0.46765129867025224
80.0,0.3751603410548555,0.4646441551160541
81.0,0.36678740290532147,0.4549161629545117
82.0,0.3533564816044839,0.4394481773031854
83.0,0.3401200419145067,0.42342472742562864
84.0,0.33005362591302745,0.41006889433080673
85.0,0.3247135514361351,0.40115651306529676
86.0,0.3254840386922759,0.39841010563710066
87.0,0.331700409580398,0.4019042710031431
88.0,0.33971859148553124,0.40868124893979757
89.0,0.3460308747527799,0.415428230105362
90.0,0.3484732529334309,0.42020780295920107
91.0,0.34356571406102043,0.41986290558680045
92.0,0.32925823066369236,0.4123992766717469
93.0,0.31071266882969895,0.4014236022192371
94.0,0.2901432495220322,0.3886372493091901
95.0,0.27010413799479893,0.3759893531111171
96.0,0.2551959402229418,0.3669513521797763
97.0,0.24688703222124567,0.36270215891608176
98.0,0.24419670327101065,0.36237874394743097
99.0,0.2460772235465156,0.36500843904793656
100.0,0.25074106261351403,0.36893637868238205
101.0,0.254728134900097,0.3708538142073353
102.0,0.254924277043837,0.3684659271392839
103.0,0.2505850389441456,0.3611657740771572
104.0,0.24183854731801355,0.34942550943752126
105.0,0.22948916429232602,0.33402852051078347
106.0,0.21713327197775045,0.31844971709377135
107.0,0.20691714233184513,0.3048468363558246
108.0,0.1999977018224946,0.29439368207745326
109.0,0.19740222251034312,0.28815998627222006
110.0,0.198846487587716,0.28611260840263264
111.0,0.2019778540707764,0.28621072011244203
112.0,0.2041715508473766,0.2859790638256624
113.0,0.2038828838115845,0.28401001813560245
114.0,0.19894970631151276,0.27824985214473635
115.0,0.1871475020803156,0.2667521159840218
116.0,0.17238888511025408,0.25262003456833143
117.0,0.15635384972629104,0.2373146078380646
118.0,0.14078887798988907,0.22234019351192108
119.0,0.12940984395773264,0.2109369013335464
120.0,0.123601034259583,0.20450482076929274
121.0,0.12274997794812338,0.20263067752750633
122.0,0.1260636709413654,0.20472075822406013
123.0,0.1323352379424058,0.20988950316046767
124.0,0.13925613972069043,0.2163988679821146
125.0,0.1437006556049494,0.22147965295438723
126.0,0.14473257715765656,0.22421538467584165
127.0,0.1421906334255438,0.22446740994910372
128.0,0.1361611721183511,0.22220841730355226
129.0,0.12898381764213898,0.21913296232523444
130.0,0.1227154388642274,0.2167435688691152
131.0,0.1185843651663243,0.21591217364593726
132.0,0.11758313026123235,0.2172848861465349
