Raman Shift(cm-1),"x:13, y:11"
50.0,0.5217236018332595
51.0,0.5226852629860097
52.0,0.5375233745347773
53.0,0.5617184383922068
54.0,0.5896865618769703
55.0,0.61101329853761
56.0,0.6167754727032131
57.0,0.6057973902612623
58.0,0.5800066565559194
59.0,0.5411170224315227
60.0,0.4993350285045145
61.0,0.46175850264968393
62.0,0.43226817532737727
63.0,0.41435567483289454
64.0,0.40925659833336253
65.0,0.4128874253851538
66.0,0.41887356678075205
67.0,0.424025467423773
68.0,0.4236851443101467
69.0,0.413634458711656
70.0,0.39881942798234077
71.0,0.3816511054552528
72.0,0.3648208455491644
73.0,0.3535249854332071
74.0,0.34957584532757663
75.0,0.35171730517156097
76.0,0.3585958057749043
77.0,0.3679668564191596
78.0,0.3753261281122299
79.0,0.3772284516309603
80.0,0.3728166243766171
81.0,0.36262644258839494
82.0,0.34769648365500244
83.0,0.3326391043214373
84.0,0.32020591898096995
85.0,0.31188373691553994
86.0,0.3090867936964379
87.0,0.3116451954567668
88.0,0.3167257121220999
89.0,0.32135454666861385
90.0,0.3237814829367011
91.0,0.3211994054904392
92.0,0.31202930074337487
93.0,0.2999131792371373
94.0,0.28654159202331636
95.0,0.2738630837461955
96.0,0.2653445362554761
97.0,0.2619657541315708
98.0,0.262716773063494
99.0,0.26658988923288696
100.0,0.27190002435978244
101.0,0.2753775543194891
102.0,0.27468167951032973
103.0,0.2691886229406094
104.0,0.259243883062337
105.0,0.24551733901946374
106.0,0.23136088497096605
107.0,0.2188782662259499
108.0,0.2092368487662023
109.0,0.20351928958665405
110.0,0.20178912042744726
111.0,0.2022405645996742
112.0,0.20260129163358964
113.0,0.20158038177935866
114.0,0.19735105956130383
115.0,0.188052761087642
116.0,0.1764237162558271
117.0,0.16371528619472536
118.0,0.15122558853858856
119.0,0.14168529838056523
120.0,0.13616850663826377
121.0,0.1342091949106793
122.0,0.13518239647315564
123.0,0.1381486981793219
124.0,0.141323916993521
125.0,0.1424749241470879
126.0,0.1410404036288045
127.0,0.13710030549368118
128.0,0.13096919513672858
129.0,0.12463612760956773
130.0,0.11960784022124275
131.0,0.11672071524366177
132.0,0.116613520303834
133.0,0.1195218820147771
134.0,0.12452054505236165
135.0,0.12966691343711179
136.0,0.13401812379706846
137.0,0.13657563325767624
138.0,0.13524848613916485
139.0,0.13189070280202933
140.0,0.1274457414847094
141.0,0.12277383860499053
142.0,0.1193594239788894
143.0,0.118292590432346
144.0,0.11962990976767786
145.0,0.12283201654680605
146.0,0.12733741629856823
147.0,0.13216725622892128
