Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.8135854539432916,1594.0,1.4109520633275943,1346.0,0.9450879448144331,2685.0,1.7342395399143162,1.1616332866249934
1,0.9109543042447269,1593.0,1.527468001347113,1346.0,1.1073574870465228,2688.0,1.6767778517864715,1.2156015750588434
2,0.9230093920303124,1592.0,0.608290138089105,1346.0,0.8528451686510138,2697.0,0.6590291966055404,0.923983196720284
3,0.9269674029423774,1592.0,1.0866797904541903,1346.0,0.8327731558284204,2691.0,1.1722955812737905,0.8983845097303681
4,0.8467526278308591,1593.0,1.7388679186807516,1346.0,0.8882827925566056,2683.0,2.0535725092879127,1.0490463960320207
5,0.8397081580961507,1594.0,1.7461261154369316,1345.0,0.9075512516384217,2686.0,2.079444028977734,1.0807936577585358
6,0.8663248454520892,1593.0,2.031634091379911,1345.0,1.0095729183226334,2681.0,2.345118118273185,1.1653514540446899
7,0.883462230469069,1594.0,1.9510140198674937,1347.0,1.0628294319731086,2685.0,2.2083728682228037,1.2030275832038746
8,0.8895639722784058,1595.0,1.7030200254488397,1346.0,1.0518945139190905,2686.0,1.914443568445067,1.1824832689940374
9,0.8940011062002967,1594.0,1.7275678386071105,1345.0,0.9754970050316152,2686.0,1.9324001129592083,1.0911586107288995
10,0.8846666133868781,1594.0,1.7048091167596706,1346.0,0.930459425271574,2683.0,1.9270639255085482,1.0517627897241217
11,0.8838944078769496,1592.0,2.1049494806359577,1345.0,1.1368847415391388,2687.0,2.3814490304242266,1.2862223489679652
12,0.8422488236887149,1587.0,2.6011099332671344,1344.0,1.1729869250219882,2681.0,3.0882915595836717,1.3926845512051558
13,0.8113438574958938,1588.0,2.5099331808491328,1345.0,1.0082723872205543,2685.0,3.0935504812912638,1.2427189506708716
14,0.862438549264518,1589.0,2.3683346117846833,1345.0,1.111703866799445,2683.0,2.7460908534345823,1.2890238588563774
15,0.8743276435416457,1595.0,1.7599959668599088,1346.0,0.8684999004950221,2686.0,2.012970743702761,0.9933346004902497
16,0.8274723585849406,1597.0,1.631733376568421,1347.0,0.6939687740911441,2688.0,1.9719491045705093,0.8386609738576636
17,0.7993865492070746,1596.0,1.7801889468824583,1347.0,0.7024463565146347,2683.0,2.2269438341791696,0.8787317690188851
18,0.8726351200961533,1597.0,1.9823483774141646,1347.0,0.8105394824572689,2689.0,2.2716807194234114,0.9288412347740002
19,0.8893157680818554,1592.0,1.4658322029963442,1346.0,1.1383963201659002,2687.0,1.6482696648435275,1.2800811151940787
20,0.8725883178802565,1590.0,2.05069425559723,1344.0,1.177258455304203,2685.0,2.3501280197962067,1.349156791560159
21,0.8721171360890011,1592.0,2.081873886174756,1345.0,1.1459356421517397,2686.0,2.3871493862749844,1.3139698725456472
22,0.9033236127297275,1593.0,1.7188427522168352,1346.0,0.9634341130947617,2686.0,1.9027984301469925,1.0665437053985427
23,0.8715713393225474,1592.0,1.691819213760574,1345.0,0.9582200528565731,2687.0,1.9411138680576472,1.099416662325514
24,0.8553811240376973,1590.0,2.1474587482740297,1345.0,1.15558607578684,2682.0,2.510528567823984,1.3509604588093673
25,0.8844747465568056,1593.0,1.6887068412174462,1345.0,1.050187588683835,2686.0,1.9092764918291407,1.1873573471397993
26,0.8760727308152247,1592.0,1.5830227954972478,1345.0,0.9046113340568976,2682.0,1.806953623615444,1.0325756095788035
27,0.851266590923462,1587.0,1.529540869714209,1339.0,0.9230009811260718,2676.0,1.7967824486744495,1.0842678321544272
28,0.9151484185493056,1587.0,1.0540038605503597,1341.0,0.7472133600562502,2679.0,1.151729969900585,0.8164941827039746
29,0.9132580643716017,1589.0,1.0840207673452351,1344.0,0.8768021368687805,2684.0,1.1869818725237673,0.9600814611717599
30,0.8693072082242784,1597.0,1.4198251069491659,1349.0,0.918373869689449,2690.0,1.6332834854198697,1.0564434080391423
31,0.8142891717886385,1595.0,1.7678535253091328,1346.0,0.7407776730915377,2688.0,2.171038970622597,0.9097231042190724
32,0.9147444115443031,1593.0,1.8080659186223258,1345.0,1.2691705930999575,2687.0,1.9765804478322928,1.3874592477228693
33,0.9515456589594846,1592.0,1.3851330164139228,1347.0,1.1164826929269065,2687.0,1.455666371205525,1.1733359113295525
34,0.9527512795162432,1591.0,0.7526437776321241,1346.0,0.9717209004556935,2693.0,0.7899687922899216,1.019910359972523
35,0.9294141192378349,1593.0,1.2844427338708022,1346.0,0.8968021974305165,2689.0,1.381991845490908,0.964911312264051
36,0.9268782178608804,1592.0,1.9532925264082854,1344.0,0.9746136681516498,2683.0,2.107388531490406,1.0515013184805841
37,0.9312426205945483,1593.0,1.8835958301325124,1345.0,1.0684453448946534,2686.0,2.0226692684339747,1.147332951978195
38,0.9223020654054109,1592.0,2.108824414766275,1345.0,1.0664395165140432,2683.0,2.28647911987415,1.156280091431081
39,0.9348748851512915,1593.0,2.065532006611047,1346.0,1.1280878245911539,2686.0,2.2094207892607796,1.2066725104168292
40,0.9291863817346713,1594.0,1.960209073994176,1346.0,1.1116624321476318,2684.0,2.109597291271874,1.1963826138651552
41,0.9338676976113811,1594.0,1.821579679806771,1346.0,1.093611248962159,2686.0,1.9505757447933503,1.1710558698618285
42,0.9387401767196097,1593.0,1.745384123051208,1345.0,1.0813456201067326,2684.0,1.8592835017995963,1.1519115160122921
43,0.9260279855160807,1590.0,2.5215717839355896,1345.0,1.3099414040093948,2682.0,2.722997386013451,1.4145807950710658
44,0.913238010541889,1586.0,2.8837302430372556,1344.0,1.299225916559191,2680.0,3.1576984419714784,1.4226586076813295
45,0.9178724598930325,1588.0,2.892381993329282,1345.0,1.2031356949160055,2684.0,3.151180713784959,1.3107874432317288
46,0.9326427648985623,1590.0,2.3954361590226623,1345.0,1.193415374349843,2685.0,2.568439116431894,1.2796061035005653
47,0.9150179782071579,1594.0,1.9457523397974177,1346.0,0.9420554887478214,2686.0,2.126463507973724,1.0295486112673322
48,0.931916542125879,1596.0,2.1127499915868624,1347.0,0.8962346748203711,2689.0,2.2671021449702753,0.9617113060101812
49,0.9195215716793073,1596.0,2.1025391175156596,1347.0,0.8425974449642789,2687.0,2.286557686380132,0.9163433147364416
50,0.9393207354331295,1596.0,2.0719966487479957,1347.0,0.9238714746605431,2686.0,2.2058457463867,0.9835527310429673
51,0.9486500605168258,1591.0,1.5027001954742736,1345.0,1.2908640446843849,2687.0,1.5840405835799984,1.3607378509849253
52,0.9328346568403597,1590.0,2.20602636807224,1345.0,1.2229572981207146,2683.0,2.364863217608528,1.3110118595540183
53,0.9325457773097277,1593.0,2.2386429623881647,1346.0,1.1895069922694737,2685.0,2.400571657561258,1.2755480977041636
54,0.9423977285407913,1594.0,1.832590751992141,1347.0,1.0114361630735025,2686.0,1.9446043814533855,1.0732582777333413
55,0.9378594856584053,1592.0,1.790085714526779,1346.0,1.0809449092353571,2687.0,1.908692871267475,1.1525659501929564
56,0.9318365263688365,1590.0,2.2960425463958845,1344.0,1.2605256789279826,2684.0,2.463997151241818,1.352732634167042
57,0.9364077428320894,1593.0,1.7457467465341163,1346.0,1.0188395803159693,2684.0,1.8643019132394685,1.0880298546385057
58,0.9255380809985477,1591.0,1.6585761273959505,1343.0,0.9566801838400958,2682.0,1.7920128425256583,1.0336475651093138
59,0.9213198609289301,1587.0,1.7194203082638582,1340.0,1.0857855339362448,2676.0,1.866257725661352,1.1785109384719987
60,0.9537548589204244,1586.0,1.030212419194743,1341.0,0.8058874546680481,2679.0,1.0801647924088822,0.8449628823702658
61,0.9460870087790542,1590.0,1.3252731967386575,1344.0,0.9705874318728309,2683.0,1.4007942022678774,1.025896585479379
62,0.9182232327366378,1596.0,1.7193895558525938,1348.0,0.9994602080974417,2690.0,1.8725180267201367,1.0884719232366713
63,0.9158085165372066,1594.0,2.0424461070882565,1346.0,0.9018733187740032,2684.0,2.230210868545988,0.9847837211474139
64,0.9081130389763246,1593.0,1.5952170086237474,1345.0,0.9101795622620319,2681.0,1.756628239169393,1.0022756234048096
65,0.9235666167736526,1592.0,1.8476190438543898,1345.0,1.0467786818102298,2684.0,2.000526015447355,1.1334089634670867
66,0.9247075241763218,1592.0,1.6928066267375261,1344.0,0.9380486432471755,2683.0,1.8306400483173146,1.0144273932265635
67,0.9503933576285434,1592.0,1.6992331951397628,1345.0,1.049135560472633,2685.0,1.7879262112897676,1.103896141583391
68,0.9255830187023089,1589.0,2.384256276810035,1342.0,1.3296040907333109,2679.0,2.5759507560465225,1.4365044127510571
69,0.9351704075237358,1586.0,2.242238278234407,1342.0,1.4717467634181747,2680.0,2.397678818956315,1.5737738828961179
70,0.9349455117366305,1587.0,2.5690175775760604,1343.0,1.3532856531587172,2679.0,2.7477725122228724,1.44744868676361
71,0.9417420312467689,1588.0,2.524403642436845,1343.0,1.3515919999321675,2679.0,2.680568094741185,1.435204074031611
72,0.920707864017101,1593.0,2.0109223931836464,1345.0,1.0571230641793987,2682.0,2.1841047217842555,1.1481633919874545
73,0.9405774805138535,1591.0,1.7789312163884947,1343.0,1.128617229319624,2681.0,1.891318103232319,1.1999194672437206
74,0.951809492970524,1593.0,1.5538537210662162,1346.0,1.1812516441360374,2683.0,1.6325259755676094,1.2410589018706277
75,0.9415644150656778,1595.0,1.6143618293178905,1347.0,1.1745196132535205,2689.0,1.7145527204373825,1.2474129166952355
76,0.9236520563585564,1596.0,1.6659443618111345,1347.0,1.054200918817826,2690.0,1.803649275008407,1.141339870961746
77,0.9441176354733273,1594.0,1.6266926506606256,1346.0,0.9898846903279233,2687.0,1.7229766604720753,1.0484760088520653
78,0.9430279019047507,1594.0,1.4666165031689815,1346.0,1.0714946421447884,2686.0,1.5552206888117242,1.1362279313056989
79,0.9248849602762078,1590.0,1.1123767526214101,1346.0,1.0697187966619317,2689.0,1.202719041175899,1.156596595907961
80,0.9004529398017161,1594.0,1.5155153867271318,1346.0,0.7925985316398555,2688.0,1.6830589581515,0.8802220489328285
81,0.9253366535948614,1596.0,2.1419641133170555,1347.0,0.9243030957299918,2688.0,2.314794410224312,0.9988830466610673
