Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity Ratio
0,0.8135854539432916,1594.0,1.4152287526611098,1346.0,0.9450879448144331,2685.0,1.739496135042446
1,0.9109543042447269,1593.0,1.5383763298317912,1346.0,1.1073574870465228,2688.0,1.6887524683329318
2,0.9230093920303124,1592.0,0.6141783133986549,1346.0,0.8528451686510138,2697.0,0.6654085198934626
3,0.9269674029423774,1592.0,1.099761450996405,1346.0,0.8327731558284204,2691.0,1.1864079011899935
4,0.8467526278308591,1593.0,1.7668126599130352,1346.0,0.8899467104940921,2683.0,2.086574758485379
5,0.8397081580961507,1594.0,1.7608842586397508,1345.0,0.9075512516384217,2686.0,2.097019353285979
6,0.8663248454520892,1593.0,2.0669970801338993,1345.0,1.0140508045039947,2681.0,2.385937666436477
7,0.883462230469069,1594.0,1.9600344268119378,1347.0,1.0628294319731086,2685.0,2.218583159770474
8,0.8895639722784058,1595.0,1.7128285599831787,1346.0,1.059844795281901,2686.0,1.9254697957204554
9,0.8940011062002967,1594.0,1.751846694678345,1345.0,0.9754970050316152,2686.0,1.9595576364822216
10,0.8846666133868781,1594.0,1.7055334792788976,1346.0,0.930459425271574,2683.0,1.9278827226783135
11,0.8838944078769496,1592.0,2.13042610022036,1345.0,1.1368847415391388,2687.0,2.410272178706831
12,0.8422488236887149,1587.0,2.619675696247795,1344.0,1.1729869250219882,2681.0,3.110334645259173
13,0.8113438574958938,1588.0,2.5099331808491328,1345.0,1.0207546486970567,2685.0,3.0935504812912638
14,0.862438549264518,1589.0,2.394715124004314,1345.0,1.1168884106710986,2683.0,2.7766791338890306
15,0.8743276435416457,1595.0,1.7878008581732807,1346.0,0.8684999004950221,2686.0,2.0447721988194516
16,0.8274723585849406,1597.0,1.6383122107198387,1347.0,0.6956625970707188,2688.0,1.979899622896787
17,0.7993865492070746,1596.0,1.7978703579609907,1347.0,0.7058835352096748,2683.0,2.2490625589639075
18,0.8726351200961533,1597.0,2.012499627000196,1347.0,0.8105394824572689,2689.0,2.3062326746354698
19,0.8893157680818554,1592.0,1.4779507468847746,1346.0,1.1383963201659002,2687.0,1.6618964825874305
20,0.8725883178802565,1590.0,2.0554574323078674,1344.0,1.1969770711900454,2685.0,2.3555866955692313
21,0.8721171360890011,1592.0,2.1108711125154014,1345.0,1.1526946067784258,2686.0,2.4203986198248297
22,0.9033236127297275,1593.0,1.7322246553548382,1346.0,0.9654971440602504,2686.0,1.9176125044714358
23,0.8715713393225474,1592.0,1.705693434936476,1345.0,0.9582200528565731,2687.0,1.9570324974915683
24,0.8553811240376973,1590.0,2.158069745275769,1345.0,1.15558607578684,2682.0,2.52293356099434
25,0.8844747465568056,1593.0,1.7019820048613663,1345.0,1.050187588683835,2686.0,1.9242855847349578
26,0.8760727308152247,1592.0,1.6081537350160735,1345.0,0.9046113340568976,2682.0,1.8356395290601213
27,0.851266590923462,1587.0,1.5560283597011575,1339.0,0.9230009811260718,2676.0,1.8278978363442682
28,0.9151484185493056,1587.0,1.0599634397443258,1341.0,0.7472133600562502,2679.0,1.1582421148960527
29,0.9132580643716017,1589.0,1.0996790961727134,1344.0,0.8768021368687805,2684.0,1.2041274411624112
30,0.8693072082242784,1597.0,1.448481621852938,1349.0,0.918373869689449,2690.0,1.666248258554914
31,0.8142891717886385,1595.0,1.7853709096444172,1346.0,0.7486459458278336,2688.0,2.1925514565332307
32,0.9147444115443031,1593.0,1.8351452548099914,1345.0,1.2714189814301622,2687.0,2.006183619872392
33,0.9515456589594846,1592.0,1.40228354892362,1347.0,1.1168711681521009,2687.0,1.4736902383192179
34,0.9527512795162432,1591.0,0.7716223725830066,1346.0,0.9781379112531223,2693.0,0.8098885713119123
35,0.9294141192378349,1593.0,1.3058080351272694,1346.0,0.8970560123982174,2689.0,1.4049797696188389
36,0.9268782178608804,1592.0,1.9743750045171686,1344.0,0.9809433608301912,2683.0,2.1301342144751017
37,0.9312426205945483,1593.0,1.908437929327123,1345.0,1.0684453448946534,2686.0,2.049345559494139
38,0.9223020654054109,1592.0,2.1391692529275006,1345.0,1.074307647335305,2683.0,2.3193803127690042
39,0.9348748851512915,1593.0,2.0771776557973,1346.0,1.1288999735596446,2686.0,2.2218776959241437
40,0.9291863817346713,1594.0,1.9768155468696225,1346.0,1.1149441753522982,2684.0,2.1274693492377303
41,0.9338676976113811,1594.0,1.8294095713379979,1346.0,1.093611248962159,2686.0,1.9589601139617603
42,0.9387401767196097,1593.0,1.769678788984471,1345.0,1.0813456201067326,2684.0,1.8851635765378054
43,0.9260279855160807,1590.0,2.550139524464802,1345.0,1.3176145405004147,2682.0,2.753847145390098
44,0.913238010541889,1586.0,2.891930599760036,1344.0,1.299225916559191,2680.0,3.1666778718989677
45,0.9178724598930325,1588.0,2.925743245586279,1345.0,1.2031356949160055,2684.0,3.1875269968632036
46,0.9326427648985623,1590.0,2.420834911373111,1345.0,1.194952871661957,2685.0,2.5956722150055063
47,0.9150179782071579,1594.0,1.9645411862729598,1346.0,0.9420554887478214,2686.0,2.1469973629613124
48,0.931916542125879,1596.0,2.1399247650927737,1347.0,0.8962346748203711,2689.0,2.2962622384738425
49,0.9195215716793073,1596.0,2.1204844920869705,1347.0,0.8425974449642789,2687.0,2.3060736772214754
50,0.9393207354331295,1596.0,2.107006704697236,1347.0,0.9238714746605431,2686.0,2.2431174200851376
51,0.9486500605168258,1591.0,1.528405692915741,1345.0,1.2931418807523722,2687.0,1.6111375063667457
52,0.9328346568403597,1590.0,2.227270271241184,1345.0,1.223678126007417,2683.0,2.3876367102239286
53,0.9325457773097277,1593.0,2.2609991947689236,1346.0,1.1895069922694737,2685.0,2.4245449926239653
54,0.9423977285407913,1594.0,1.8517266555254506,1347.0,1.029142865129392,2686.0,1.964909930749371
55,0.9378594856584053,1592.0,1.7954318971915584,1346.0,1.0809449092353571,2687.0,1.9143932802802668
56,0.9318365263688365,1590.0,2.3139891983107326,1344.0,1.2605256789279826,2684.0,2.48325659365151
57,0.9364077428320894,1593.0,1.75536927957243,1346.0,1.0262997770019096,2684.0,1.874577920792771
58,0.9255380809985477,1591.0,1.6730253611836035,1343.0,0.9566801838400958,2682.0,1.8076245543334144
59,0.9213198609289301,1587.0,1.72926154459497,1340.0,1.0945868302070008,2676.0,1.8769393974112578
60,0.9537548589204244,1586.0,1.060526521698291,1341.0,0.8077246162903255,2679.0,1.1119487484433095
61,0.9460870087790542,1590.0,1.3362695632552768,1344.0,0.9731056876812348,2683.0,1.412417199322673
62,0.9182232327366378,1596.0,1.7299065889760599,1348.0,0.9994602080974417,2690.0,1.8839717045933502
63,0.9158085165372066,1594.0,2.066700433229068,1346.0,0.9018733187740032,2684.0,2.256694926842935
