Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity_RBM,Shift_RBM,Intensity Ratio_2_1,Intensity Ratio_3_1
0,0.19952978952810507,1524.0609052880093,29.637288654399164,0.9287616862886484,1574.600946214848,35.15024869812822,0.053370941147750865,1306.5658015122099,85.93118649581949,0.16347947284766737,2573.5689488106027,99.36549150871254,[0.04230337 0.05496581 0.03432532],[278. 303. 331.],0.05746462406413672,0.17601875191572
1,0.2138018873227639,1528.3662361245217,31.23295617612706,0.9554274540881396,1578.3378655748425,34.23938637052104,0.04804079370062101,1298.5627541892202,54.80947928096025,0.18670669650530688,2575.5613654093204,97.39997766984047,[0.03848884 0.05199916 0.05675778],[251. 280. 304.],0.05028199000882926,0.19541692643058897
2,0.2132998894681936,1524.834004757708,30.328628478104797,0.9494153008020528,1575.7023596990666,32.998336100783106,0.040952135437064836,1297.7271831690375,56.65553675399227,0.16906923523064124,2572.0866624194346,104.5179534373857,[0.04383786 0.06441895 0.05152322],[279. 304. 331.],0.043134058828069276,0.17807721772317542
3,0.20070587664130604,1525.2455010510173,30.389674591808813,0.9565636640464783,1575.8250067173756,33.799368271439455,0.04212180748074817,1298.7160983146957,60.98079012876532,0.1766810075832518,2574.335116198576,100.57683835079082,[0.0465554  0.06648536 0.04789478],[280. 304. 332.],0.044034505034995265,0.18470386679319556
4,0.19674345561352047,1524.4091743912795,30.24048611594576,0.954641254094968,1575.0601470837923,34.773804372628184,0.051612216622297764,1303.4709791563118,71.61499866553261,0.17110731029826465,2573.8208330881585,101.41998114274881,[0.04419595 0.0639306  0.04373932],[281. 304. 332.],0.05406451523114605,0.179237288944191
5,0.21386130644831666,1524.5834292581603,31.4637912235398,0.9465486265045455,1575.785509060697,35.340288484477234,0.059199014829795116,1303.0309485494652,74.63732988685744,0.16501361750328955,2572.8445478767326,106.65265880647856,[0.04283997 0.06512836 0.04614649],[280. 304. 331.],0.06254196897248451,0.17433189683308586
6,0.21594050099515893,1524.8497478969803,30.874703960788782,0.9472670799982946,1575.8127386050628,34.36365274008061,0.05286293810374966,1300.4518843023495,64.10484255869714,0.17187927594120558,2572.756711509976,105.1229985953674,[0.04003059 0.06789787 0.05140779],[280. 304. 331.],0.05580573760026035,0.18144753424927954
7,0.21197592546668076,1523.3007411288793,32.97244662135141,0.9436368491785623,1574.2498753469386,36.75394608461016,0.06196482857803118,1302.4179541826907,74.96168589472448,0.17087670474382827,2570.642558521752,112.56552202079457,[0.03881452 0.04207204 0.06145244 0.04489781],[213. 281. 303. 331.],0.06566596952203772,0.18108311994447523
8,0.2226685190635007,1532.7504518861006,26.634251826693838,0.9592647425387859,1581.6689595359485,31.7084860130417,0.0648384721927656,1298.9664012155679,47.26199746218787,0.18270333143193948,2580.7495806665015,92.22595059766978,[0.04575746 0.06364614 0.04927836],[252. 280. 304.],0.06759184333322246,0.19046184367039035
9,0.19380074154287338,1543.5448829259283,19.483408873474325,0.9562570541182676,1591.359584868908,22.1922015425053,0.08561543368051709,1308.3250379815265,55.99352575695698,0.1459930982035954,2596.6855708750604,70.88786704769323,[0.04968604 0.09839795],[253. 283.],0.089531819202589,0.15267139476237457
10,0.19996523821615617,1526.6066810032066,31.388986998720938,0.954721422155628,1576.367531070025,32.62381410776358,0.05266585422310972,1296.600296504966,48.545502105426415,0.18164228991703366,2575.1921519006846,95.28968783048258,[0.03285733 0.03617908 0.04359933 0.05416496],[213. 251. 278. 304.],0.05516358280114586,0.19025684948695365
11,0.2086969580682523,1525.4930989193524,32.173220499465366,0.93647617340224,1575.3800104953407,34.36251316206618,0.03793024004672144,1295.8154572495066,50.106863094005895,0.18729771534924378,2573.4891110903063,97.6502140869893,[0.03778695 0.04197168 0.04661145 0.05061682],[213. 252. 279. 303.],0.04050315547155886,0.20000264893957395
12,0.19443973649899646,1530.8400400246028,27.778303249999556,0.9482576758573116,1579.7489208598633,30.431462932633618,0.05868173777548589,1301.6579558293138,59.501975642040705,0.1764129421024585,2579.0633070768,95.50714990713834,[0.04608349 0.05369221 0.05500248],[252. 279. 305.],0.06188374665402232,0.18603903410849282
13,0.19438888050635353,1533.3859432744841,24.68099067840252,0.9464824230951421,1581.6196276318253,28.575089842297174,0.07116500604910513,1302.7101619978007,63.624757120489456,0.15850098599250897,2582.307554212912,90.44014678820153,[0.05274739 0.05500987 0.05761205],[252. 280. 305.],0.07518893569770127,0.1674632112809729
14,0.20285750950058076,1526.809888698539,29.682357035414057,0.9560408075443242,1576.4571243672433,32.29616342527816,0.038935785146653475,1295.7577892780723,48.516768408490115,0.18387816748588762,2573.9132400092767,99.3638816172636,[0.03995249 0.05027221 0.06041759],[251. 279. 304.],0.04072607030934537,0.19233296950806425
15,0.20933060796851474,1528.1275499609803,30.921836628584746,0.9658113932284532,1577.935482371437,33.4099384914656,0.04767029751790061,1297.432751062223,48.11450143210026,0.19410641312441473,2575.222884297117,97.87152443802212,[0.0432751  0.05243866 0.05313851],[252. 280. 304.],0.04935777093967732,0.20097755574778228
16,0.21491225722997886,1528.9802214466554,30.1700265336403,0.9636827355298259,1578.9108427265091,34.27719141293044,0.05312171913387318,1298.821038015807,52.71318411977796,0.19180932512658574,2576.7956289621757,99.24552965617002,[0.04976665 0.05943711 0.05715853],[252. 280. 304.],0.05512365966032093,0.19903783481306256
17,0.21566784246647766,1530.578460163792,31.454072461835977,0.9712422369770313,1580.414576830925,34.51385544652138,0.051526945107690035,1299.0625222065903,48.705552802824265,0.1907637140772884,2578.074598933299,97.38431288233559,[0.04409635 0.06641824 0.04111659 0.04936225],[252. 282. 294. 304.],0.053052619774924994,0.19641208631024532
18,0.20132989028595064,1530.6872230609663,34.50462220382375,0.9713032387351527,1579.6265450867395,33.90514721542629,0.05054590633831875,1297.8088683150984,42.25187276862953,0.19596621706977763,2579.583663742688,93.23806025193713,[0.04259246 0.05481211 0.06591265 0.05355901],[213. 252. 281. 304.],0.05203926469363005,0.20175595967842969
