Spectra #,Intensity_G-,Shift_G-,FWHM_G-,Intensity_G+,Shift_G+,FWHM_G+,Intensity_D,Shift_D,FWHM_D,Intensity_2D,Shift_2D,FWHM_2D,Intensity Ratio,Intensity_RBM,Shift_RBM
0,0.1995299034668782,1524.0609418536833,29.63724195005917,0.9287616718754613,1574.6009462915947,35.15024241684683,0.053371809054995605,1306.566322712503,85.93672334026333,0.16347947715662198,2573.568963154575,99.36545714670659,0.05746555943380089,[0.04230337 0.05496581],[278. 303.]
1,0.2138021100094538,1528.3662083650556,31.232800092852134,0.9554274628369581,1578.3378611567157,34.23940673288306,0.048040788271431184,1298.5627866457778,54.80979686518466,0.18670672245080033,2575.5613984370116,97.39975160007168,0.05028198386592667,[0.03848884 0.05199916 0.05675778],[251. 280. 304.]
2,0.21329965329985062,1524.8340672147835,30.328792393557045,0.9494152921885365,1575.7023658398841,32.99830820921547,0.04095213416971482,1297.7272128059024,56.65620235817004,0.1690692499267501,2572.0866988184844,104.51771344358758,0.04313405788452634,[0.04383786 0.06441895 0.05152322],[279. 304. 331.]
3,0.20070541859418076,1525.2455786382288,30.389999860536754,0.9565636557687548,1575.8250168091681,33.799325274723614,0.04212182361647786,1298.7161062518032,60.98141479698815,0.1766810618153968,2574.335205335748,100.57620016786018,0.04403452228448519,[0.0465554  0.06648536 0.04789478],[280. 304. 332.]
4,0.19674320092363626,1524.4092568243213,30.240698733342064,0.9546412395539189,1575.0601549614541,34.77376694274927,0.05161205013632899,1303.4708155096946,71.61324929595699,0.17110732907192364,2573.8208686449816,101.4197424888689,0.05406434165828209,[0.04419595 0.0639306  0.04373932],[281. 304. 332.]
5,0.2138613510458498,1524.5834511821715,31.463780279296873,0.9465486249880652,1575.7855096992103,35.340281896966154,0.059198974682845504,1303.0308914589734,74.63700975529542,0.16501363064949512,2572.84459166921,106.65233469318302,0.06254192665864569,[0.04283997 0.06512836 0.04614649],[280. 304. 331.]
6,0.21594044864269865,1524.8498069240302,30.874772427094374,0.9472670644803511,1575.812742789543,34.36363045014532,0.05286294880007059,1300.4519530978926,64.10504224581275,0.1718793075282787,2572.756788950976,105.12239017691213,0.05580574980622807,[0.06789787 0.05140779],[304. 331.]
7,0.21197618381372949,1523.3007158409946,32.972239027844395,0.943636890537168,1574.249868658482,36.75396883274224,0.06196486320399249,1302.4179559297588,74.96193976043901,0.1708767083570257,2570.6426046862234,112.56514584975969,0.06566600333812597,[0.04207204 0.06145244 0.04489781],[281. 303. 331.]
8,0.22266834157942092,1532.7504630638286,26.63433210627092,0.959264754367548,1581.668961627294,31.7084768347852,0.06483847711872695,1298.966396669991,47.26195743298917,0.18270339440585012,2580.749638049469,92.2255177727233,0.06759184763488527,[0.04575746 0.06364614 0.04927836],[252. 280. 304.]
9,0.19380712239839046,1543.5447625938398,19.481625819970375,0.9562562465773837,1591.359559221061,22.192287839281143,0.08561542052622141,1308.3250865934433,55.9941153532125,0.14599309153846002,2596.6855727332822,70.88788774952357,0.08953188105453395,[0.04968604 0.09839795],[253. 283.]
10,0.19996521677276993,1526.6066769333652,31.38899811051273,0.9547214238115111,1576.3675311377613,32.62381431484857,0.052665835856151595,1296.6002806455208,48.54571832749233,0.1816423384505025,2575.192209928423,95.28932566833134,0.05516356346744065,[0.04359933 0.05416496],[278. 304.]
11,0.2086971903459086,1525.4930686539576,32.1730370527341,0.9364761814881134,1575.3800051075432,34.36253779623935,0.03793012210766311,1295.8155726987814,50.10932433353721,0.1872977413057307,2573.489145466849,97.65000110528824,0.04050302918264297,[0.04197168 0.04661145 0.05061682],[252. 279. 303.]
12,0.1944404863512135,1530.8399877188301,27.777897301078504,0.9482576557302759,1579.7489118813905,30.431498411351303,0.05868172553295915,1301.6578935492641,59.50142850558085,0.1764129677802453,2579.063334452598,95.50692064183103,0.06188373505697347,[0.04608349 0.05369221 0.05500248],[252. 279. 305.]
13,0.1943895813474553,1533.385868586266,24.680675280489808,0.9464823450924345,1581.6196192215987,28.5751239222022,0.07116501912429472,1302.71019257357,63.62495424869761,0.15850101496790553,2582.3075770662704,90.43993536586528,0.0751889557087773,[0.05274739 0.05500987 0.05761205],[252. 280. 305.]
14,0.20285728281415938,1526.8099256576384,29.682503939121133,0.9560407995910054,1576.457128596107,32.296144889253966,0.03893571213572547,1295.7579006176293,48.51793884150452,0.18387813185070406,2573.913189381685,99.36424082891162,0.04072599428014179,[0.05027221 0.06041759],[279. 304.]
15,0.2093307163674749,1528.127534691636,30.92175950419864,0.9658113888169301,1577.9354802608868,33.40994931186033,0.04767027991280864,1297.4328467401228,48.11472235594351,0.19410649135623587,2575.2229851557768,97.87085377480912,0.049357752936836155,[0.0432751  0.05243866 0.05313851],[252. 280. 304.]
16,0.21491290480965547,1528.9801662390162,30.16961212968397,0.9636826771134583,1578.9108320243133,34.27724791657232,0.053121698850874935,1298.821092689082,52.713701092318324,0.19180935789133086,2576.7956791144015,99.245192417037,0.05512364195441556,[0.04976665 0.05943711 0.05715853],[252. 280. 304.]
17,0.2156680278604887,1530.5784537395741,31.453946844886776,0.9712422032413563,1580.4145743219792,34.513872033012454,0.05152689858925421,1299.0626050792596,48.70613132940792,0.1907636932059157,2578.074570786645,97.38450353945512,0.05305257372187073,[0.04409635 0.06641824 0.04111659 0.04936225],[252. 282. 294. 304.]
